Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7gm2omqXDTaT4sS17hSu8T,"Fresh Eyes","The Good Parts","Andy Grammer",2017-12-01,198001,67,false,312ctbywossydaez37pttmshkwk4,2024-05-19T04:30:12Z,"","S-Curve Records",0.827,0.56,0,-6.685,1,0.0327,0.55,0.0000366,0.15,0.873,122.056,4
spotify:track:0uLPKDuIhkIhttiwezNdiG,"Jesus in LA","These Two Windows","Alec Benjamin",2020-05-29,171539,58,false,312ctbywossydaez37pttmshkwk4,2024-05-19T04:30:36Z,"","P2020",0.787,0.558,0,-5.237,1,0.0414,0.664,0,0.347,0.706,94.049,4
spotify:track:0G9vbgmLrDqjV4NUCSrsIg,"Loose (feat. KSI)","Loose (feat. KSI)","S1mba;KSI",2020-09-11,152436,42,true,312ctbywossydaez37pttmshkwk4,2024-05-19T18:05:22Z,"afroswing","Parlophone UK",0.837,0.624,1,-4.884,1,0.0763,0.0434,0,0.141,0.725,108.983,4
spotify:track:0osPX8TruIebOhKuG6GK8C,"On My Level (feat. Too $hort)","Rolling Papers","Wiz Khalifa;Too $hort",2011-03-29,272160,65,true,312ctbywossydaez37pttmshkwk4,2024-05-26T11:14:07Z,"rap,hyphy,west coast hip hop,g-funk,old school hip hop,gangster rap","Rostrum/Atlantic",0.72,0.514,1,-7.108,1,0.132,0.146,0.00713,0.107,0.212,142.98,4
spotify:track:7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky;Skepta",2018-05-25,205813,82,true,312ctbywossydaez37pttmshkwk4,2024-05-26T13:00:10Z,"rap,grime,uk grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
spotify:track:4D6TpthzUVNTjWQqfBW5Kb,"All Of The Lights (Interlude)","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,62253,60,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:24:24Z,"rap","Roc-A-Fella",0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3
spotify:track:22L7bfCiAkJo5xGSQgmiIO,"All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,81,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:22:09Z,"rap","Roc-A-Fella",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
spotify:track:3DK6m7It6Pw857FcQftMds,"Runaway","My Beautiful Dark Twisted Fantasy","Kanye West;Pusha T",2010-11-22,547733,84,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:39:03Z,"rap","Roc-A-Fella",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
spotify:track:1auxYwYrFRqZP7t3s7w4um,"Ni**as In Paris","Watch The Throne","JAŸ-Z;Kanye West",2011-08-08,219333,83,true,312ctbywossydaez37pttmshkwk4,2024-06-06T08:43:57Z,"hip hop,east coast hip hop,rap","Roc Nation/RocAFella/IDJ",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
spotify:track:5bi0gh89wRuH2OgjdAKFsb,"Santa","Santa","Rvssian;Rauw Alejandro;Ayra Starr",2024-04-04,193038,73,false,312ctbywossydaez37pttmshkwk4,2024-06-12T23:27:03Z,"trap latino,reggaeton,urbano latino,latin,afrobeats,afrobeat,afropop,afro r&b,afropiano,afro soul","Sony Music Latin",0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,4
spotify:track:3hRG2nZPcYUN0VYohLBds1,"Boyfriend","Boyfriend","USHER",2023-08-16,226740,45,false,312ctbywossydaez37pttmshkwk4,2024-06-23T07:19:05Z,"r&b","mega/gamma.",0.759,0.599,8,-7.221,1,0.0898,0.081,0,0.0558,0.682,127.109,4
spotify:track:6jlG8gBPNAgBgoivw2Ig09,"DEVIL IS A LIE","DEVIL IS A LIE","Tommy Richman",2024-06-14,130944,72,true,312ctbywossydaez37pttmshkwk4,2024-06-27T05:42:53Z,"","PULSE Records",0.904,0.452,9,-7.272,1,0.132,0.174,0,0.115,0.613,90.026,4
spotify:track:3PYBVh7q3b7n6409CpMq87,"Remorse (Interlude)","NIGHTS IN SUMMER","Demi Mulla",2023-07-01,130146,53,false,312ctbywossydaez37pttmshkwk4,2024-06-27T23:40:09Z,"afroswing,afro r&b,uk r&b,alté,afrobeats,afro soul","WORLDWIDE MUSIC GROUP",0.541,0.275,11,-12.539,1,0.165,0.929,0.0000264,0.494,0.409,114.962,5
spotify:track:2VoJqoAr8jW8oPcKwbjMfW,"Locked In","NIGHTS IN SUMMER","Demi Mulla",2023-07-01,138575,32,false,312ctbywossydaez37pttmshkwk4,2024-06-27T23:40:21Z,"afroswing,afro r&b,uk r&b,alté,afrobeats,afro soul","WORLDWIDE MUSIC GROUP",0.313,0.372,5,-8.161,0,0.0373,0.567,0.0861,0.435,0.121,70.789,3
spotify:track:2h4EUH2kBqjkGvv2sJ5MyP,"Mande um Sinal","Vício Inerente","Marina Sena",2023-04-27,279849,55,false,312ctbywossydaez37pttmshkwk4,2024-06-29T13:30:40Z,"brazilian pop,new mpb","Sony Music Entertainment",0.595,0.473,7,-5.813,1,0.0366,0.659,0,0.0815,0.352,139.374,3
spotify:track:4m1lfvUr5fPaZm4eMVPMk0,"Ego","Ego","Kennedy Ryon",2024-07-06,202906,54,false,312ctbywossydaez37pttmshkwk4,2024-07-06T10:01:25Z,"","Kennedy Ryon, LLC",0.93,0.584,8,-7.256,1,0.164,0.00983,0,0.0928,0.448,99.941,4
spotify:track:1pKVUhjpPyYooNuOQvupQv,"Sanctuary","Sanctuary","MORGAN",2020-04-23,192279,0,false,312ctbywossydaez37pttmshkwk4,2024-07-07T16:25:17Z,"","Major Tom's Records",0.719,0.764,5,-5.221,0,0.328,0.0249,0.00000467,0.0759,0.542,98.066,4
